"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 25 07:21:47 UTC 2026","Wed Mar 25 07:21:47 UTC 2026","3","tests.contract.auth","test_register_contract","","","","test_register_contract_validation_error[payload5-empty payload]",""
"passed","Wed Mar 25 07:21:24 UTC 2026","Wed Mar 25 07:21:24 UTC 2026","3","tests.api.cats","test_create_cat_api","","","","test_create_cat_name_too_short[empty name]",""
"passed","Wed Mar 25 07:22:16 UTC 2026","Wed Mar 25 07:22:17 UTC 2026","206","tests","test_e2e","","","","test_full_stats_and_filtering",""
"passed","Wed Mar 25 07:21:47 UTC 2026","Wed Mar 25 07:21:47 UTC 2026","79","tests.contract.cats","test_adopt_cat_contract","","","","test_adopt_cat_authorized_contract",""
"passed","Wed Mar 25 07:21:48 UTC 2026","Wed Mar 25 07:21:48 UTC 2026","71","tests.contract.cats","test_adopt_cat_contract","","","","test_patch_cat_invalid_catid_contract[invalid id format]",""
"passed","Wed Mar 25 07:21:29 UTC 2026","Wed Mar 25 07:21:29 UTC 2026","4","tests.api.external-api","test_register_chip_api","","","","test_register_chip_success",""
"passed","Wed Mar 25 07:22:06 UTC 2026","Wed Mar 25 07:22:06 UTC 2026","14","tests.contract.cats","test_update_cat_contract","","","","test_patch_cat_authorized_contract",""
"passed","Wed Mar 25 07:21:22 UTC 2026","Wed Mar 25 07:21:22 UTC 2026","3","tests.api.auth","test_register_api","","","","test_register_login_boundary[payload1-spaces]",""
"passed","Wed Mar 25 07:22:07 UTC 2026","Wed Mar 25 07:22:07 UTC 2026","9","tests.contract.cats","test_update_cat_contract","","","","test_patch_cat_invalid_payload_contract",""
"passed","Wed Mar 25 07:21:45 UTC 2026","Wed Mar 25 07:21:45 UTC 2026","4","tests.contract.auth","test_login_contract","","","","test_login_validation_error_contract[payload0-missing 'login']",""
"passed","Wed Mar 25 07:22:09 UTC 2026","Wed Mar 25 07:22:09 UTC 2026","4","tests.contract.external-api","test_register_chip_contract","","","","test_register_chip_invalid_breed_contract[space]",""
"passed","Wed Mar 25 07:22:00 UTC 2026","Wed Mar 25 07:22:00 UTC 2026","19","tests.contract.cats","test_create_health-card_contract","","","","test_create_health_card_repeated_creation",""
"passed","Wed Mar 25 07:22:06 UTC 2026","Wed Mar 25 07:22:06 UTC 2026","5","tests.contract.cats","test_patch_health-card_contract","","","","test_patch_health_card_invalid_payload[payload6-empty payload]",""
"passed","Wed Mar 25 07:21:51 UTC 2026","Wed Mar 25 07:21:51 UTC 2026","75","tests.contract.cats","test_chip_cat_contract","","","","test_chip_cat_forbidden_contract",""
